[0318/123605.894:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0318/124720.159:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[0318/125851.492:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0318/125856.504:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0318/125901.516:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0318/125906.525:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0318/125911.532:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0318/125916.553:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0318/125921.568:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0318/125926.572:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0318/125931.585:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0318/125936.600:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0318/125941.613:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0318/125946.633:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0318/125951.647:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0318/125956.662:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0318/130001.675:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0318/130006.692:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0318/130011.712:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0321/215822.643:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0321/232829.522:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0321/232904.985:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0321/233015.324:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0321/233020.336:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0321/233025.353:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0321/233030.366:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0321/233035.387:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0321/233040.426:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0321/233045.447:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0321/233050.467:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0321/233055.491:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0321/233100.514:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0321/233105.531:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0321/233110.560:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0321/233441.094:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0321/233551.392:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0321/233556.426:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0321/233601.446:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0321/233606.467:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0321/233611.485:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0321/233616.502:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0321/233621.517:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0321/233626.537:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0321/233631.560:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0321/233636.581:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0321/233641.603:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0321/233646.639:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
